CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"20690","CHEM 1120-01","M","T R","08/14/2023-12/08/2023","1830-2120","LOPEZ 106","4","CLAS","Intro to Chemistry","Ujith S. Madduma Bandarage","24","24","0","0","$155","Bookstore Link",
"20477","CHEM 1215-01","M","M W F","08/14/2023-12/08/2023","1000-1050","LOPEZ 106","3","CLAS","General Chemistry I","Wenyang Gao","44","45","1","0","N/A","Bookstore Link",
"20478","CHEM 1215-02","M","M W F","08/14/2023-12/08/2023","1300-1350","LOPEZ 106","3","CLAS","General Chemistry I","Sally C. Pias","43","45","2","0","N/A","Bookstore Link",
"20479","CHEM 1215-03","M","M W F","08/14/2023-12/08/2023","1100-1150","LOPEZ 106","3","CLAS","General Chemistry I","Ujith S. Madduma Bandarage","44","45","1","0","N/A","Bookstore Link",
"20750","CHEM 1215-05","M","MTWR","08/14/2023-12/08/2023","1700-1750",,"3","CLAS","General Chemistry I (Advanced)","Jeff A. Altig","23","24","1","0","N/A","Bookstore Link",
"20480","CHEM 1215L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","23","24","1","0","$155","Bookstore Link",
"20481","CHEM 1215L-02","M","M","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","23","24","1","0","$155","Bookstore Link",
"20482","CHEM 1215L-03","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","Bookstore Link",
"20483","CHEM 1215L-04","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","23","24","1","0","$155","Bookstore Link",
"20484","CHEM 1215L-05","M","W","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","Bookstore Link",
"20485","CHEM 1215L-06","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","Bookstore Link",
"20561","CHEM 1215L-07","M","T","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","24","24","0","0","$155","Bookstore Link",
"20729","CHEM 1215L-09","M","R","08/14/2023-12/08/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry I Lab","Jeff A. Altig","23","24","1","0","$155","Bookstore Link",
"20486","CHEM 1225-01","M","M W F","08/14/2023-12/08/2023","0900-0950","LOPEZ 106","3","CLAS","General Chemistry II","Ujith S. Madduma Bandarage","63","70","7","0","N/A","Bookstore Link",
"20487","CHEM 1225L-01","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","21","24","3","0","$155","Bookstore Link",
"20488","CHEM 1225L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","19","24","5","0","$155","Bookstore Link",
"20489","CHEM 1225L-03","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry II Lab","Jeff A. Altig","24","24","0","0","$155","Bookstore Link",
"21257","CHEM 3000-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Wenyang Gao","10","10","0","0","N/A","Bookstore Link",
"21258","CHEM 3000-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Praveen Patidar","10","10","0","0","N/A","Bookstore Link",
"21259","CHEM 3000-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Sally C. Pias","10","10","0","0","N/A","Bookstore Link",
"21260","CHEM 3000-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Gayan R. Rubasinghege","10","10","0","0","N/A","Bookstore Link",
"21261","CHEM 3000-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Menake E. Piyasena","10","10","0","0","N/A","Bookstore Link",
"21262","CHEM 3000-06","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Nicolas E. Holubowitch","10","10","0","0","N/A","Bookstore Link",
"21264","CHEM 3011-01","M","M W F","08/14/2023-12/08/2023","1100-1150",,"3","CLAS","Quantitative Analysis","Gayan R. Rubasinghege","46","60","14","0","N/A","Bookstore Link",
"21265","CHEM 3011L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 136","1","CLAS","Quantitative Analysis Lab","Jeff A. Altig","17","24","7","0","$155","Bookstore Link",
"21266","CHEM 3011L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 136","1","CLAS","Quantitative Analysis Lab","Jeff A. Altig","18","24","6","0","$155","Bookstore Link",
"21267","CHEM 3031-01","M","M W F","08/14/2023-12/08/2023","1300-1350",,"3","CLAS","Physical Chemistry I","Jeff A. Altig","20","30","10","0","N/A","Bookstore Link",
"21268","CHEM 3031L-01","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 127","1","CLAS","Physical Chemistry I Lab","Jeff A. Altig","6","12","6","0","$155","Bookstore Link",
"21269","CHEM 3031L-02","M","W","08/14/2023-12/08/2023","1400-1630","LOPEZ 127","1","CLAS","Physical Chemistry I Lab","Jeff A. Altig","7","12","5","0","$155","Bookstore Link",
"21271","CHEM 3033-01","M","M W F","08/14/2023-12/08/2023","0900-0950",,"3","CLAS","Organic Chemistry I",,"28","55","27","0","N/A","Bookstore Link",
"21272","CHEM 3033L-01","M","M","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","4","12","8","0","$155","Bookstore Link",
"21273","CHEM 3033L-02","M","T","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","4","12","8","0","$155","Bookstore Link",
"21276","CHEM 3033L-03","M","R","08/14/2023-12/08/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry I Lab","Jeff A. Altig","10","12","2","0","$155","Bookstore Link",
"21279","CHEM 4011-01","M","M W F","08/14/2023-12/08/2023","0900-0950",,"3","CLAS","Advanced Instrumental Methods","Menake E. Piyasena","10","10","0","0","N/A","Bookstore Link",
"21280","CHEM 4011L-01","M","R","08/14/2023-12/08/2023","1830-2100","LOPEZ 127","1","CLAS","Advanced Instrumental Lab","Jeff A. Altig","8","8","0","0","$155","Bookstore Link",
"21288","CHEM 4030-01","M","F","08/14/2023-12/08/2023","1400-1450","LOPEZ 106","1","CLAS","Chem and Biochem Seminar","Sally C. Pias","20","20","0","0","N/A","Bookstore Link",
"21289","CHEM 4041-01","M","M W F","08/14/2023-12/08/2023","1000-1050",,"3","CLAS","Biochemistry I","Praveen Patidar","17","40","23","0","N/A","Bookstore Link",
"21290","CHEM 4041L-01","M","M","08/14/2023-12/08/2023","1400-1630",,"1","CLAS","Biochemistry I Lab","Praveen Patidar","2","12","10","0","$155","Bookstore Link",
"21291","CHEM 4041L-02","M","T","08/14/2023-12/08/2023","1830-2100",,"1","CLAS","Biochemistry I Lab","Praveen Patidar","9","12","3","0","$155","Bookstore Link",
"22460","CHEM 4061-01","M","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Intro Biomolec Simulations","Sally C. Pias","4","5","1","0","N/A","Bookstore Link",
"21297","CHEM 4089-01","M","T R","08/14/2023-12/08/2023","1100-1215",,"3","CLAS","Advanced Electrochemistry","Nicolas E. Holubowitch","8","8","0","0","N/A","Bookstore Link",
"21303","CHEM 4093-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Jeff A. Altig","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21305","CHEM 4093-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Wenyang Gao","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21306","CHEM 4093-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Praveen Patidar","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21307","CHEM 4093-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Sally C. Pias","5","5","0","0","$155","Bookstore Link",
"21308","CHEM 4093-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Menake E. Piyasena","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21310","CHEM 4093-06","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Nicolas E. Holubowitch","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21312","CHEM 4093-07","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Senior Research & Thesis I","Gayan R. Rubasinghege","5","5","0","0","$155","Bookstore Link",
,,,,,,,,,,"Sally C. Pias",,,,,,,
"21315","CHEM 5000-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Wenyang Gao","5","5","0","0","N/A","Bookstore Link",
"21316","CHEM 5000-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"21317","CHEM 5000-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"21319","CHEM 5000-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
"21320","CHEM 5000-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Gayan R. Rubasinghege","5","5","0","0","N/A","Bookstore Link",
