CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"10569","GEOC 5000-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Shari A. Kelley","10","10","0","0","N/A","Bookstore Link",
"10571","GEOC 5000-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Philip Kyle","10","10","0","0","N/A","Bookstore Link",
"10572","GEOC 5000-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","William C. McIntosh","10","10","0","0","N/A","Bookstore Link",
"10573","GEOC 5000-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Michael V. Schaefer","10","10","0","0","N/A","Bookstore Link",
"10575","GEOC 5000-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Laura E. Waters","10","10","0","0","N/A","Bookstore Link",
"10577","GEOC 5000-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Matthew Zimmerer","10","10","0","0","N/A","Bookstore Link",
"10821","GEOC 5000-13","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Nicole C. Hurtig","10","10","0","0","N/A","Bookstore Link",
"10822","GEOC 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Nelia Dunbar","10","10","0","0","N/A","Bookstore Link",
"10823","GEOC 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Bonnie Frey","10","10","0","0","N/A","Bookstore Link",
"10824","GEOC 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Alexander Gysi","10","10","0","0","N/A","Bookstore Link",
"10825","GEOC 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","James B. Harrison","10","10","0","0","N/A","Bookstore Link",
"10826","GEOC 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Matthew T. Heizler","10","10","0","0","N/A","Bookstore Link",
"10827","GEOC 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Nicole C. Hurtig","10","10","0","0","N/A","Bookstore Link",
"10828","GEOC 5091-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10829","GEOC 5091-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Shari A. Kelley","10","10","0","0","N/A","Bookstore Link",
"10830","GEOC 5091-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Philip Kyle","10","10","0","0","N/A","Bookstore Link",
"10831","GEOC 5091-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","William C. McIntosh","10","10","0","0","N/A","Bookstore Link",
"10832","GEOC 5091-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Michael V. Schaefer","10","10","0","0","N/A","Bookstore Link",
"10833","GEOC 5091-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Laura E. Waters","10","10","0","0","N/A","Bookstore Link",
"10834","GEOC 5091-13","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Matthew Zimmerer","10","10","0","0","N/A","Bookstore Link",
"10835","GEOC 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Nelia Dunbar","10","10","0","0","N/A","Bookstore Link",
"10838","GEOC 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Bonnie Frey","10","10","0","0","N/A","Bookstore Link",
"10839","GEOC 5095-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Alexander Gysi","10","10","0","0","N/A","Bookstore Link",
"10840","GEOC 5095-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","James B. Harrison","10","10","0","0","N/A","Bookstore Link",
"10841","GEOC 5095-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Matthew T. Heizler","10","10","0","0","N/A","Bookstore Link",
