"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"31350","BIOT 589-01","M","T R","01/16/2023-05/09/2023","1230-1345","CRAMER 120","3","CLAS","Biomedical Materials","Nikolai Kalugin","19","20","1","0","$30","https://catalog.nmt.edu/courses/BIOT589",""
"31622","BIOT 589-02","M","T R","01/16/2023-05/09/2023","1400-1515","CRAMER 101","3","CLAS","Neurology","","20","20","0","0","N/A","https://catalog.nmt.edu/courses/BIOT589",""
"31772","BIOT 595-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Linda C. DeVeaux","9","10","1","0","N/A","https://catalog.nmt.edu/courses/BIOT595",""
"31773","BIOT 595-02","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOT595",""
"30419","CH E 327-01","M","T R","01/16/2023-05/09/2023","0930-1045","CRAMER 127","3","CLAS","Principles Chem Eng II","Youngmin Lee","11","20","9","0","$35","https://catalog.nmt.edu/courses/CHE327",""
"30158","CH E 345L-01","M","M","01/16/2023-05/09/2023","1400-1650","JONES 201","1","CLAS","Chemical Engr. Design Lab","Michaelann S. Tartis","13","20","7","0","$100","https://catalog.nmt.edu/courses/CHE345",""
"30192","CH E 351-01","M","T R","01/16/2023-05/09/2023","1230-1345","LOPEZ 106","3","CLAS","Chemical Process Kinetics","Youngmin Lee","11","20","9","0","$35","https://catalog.nmt.edu/courses/CHE351",""
"30193","CH E 352-01","M","M W F","01/16/2023-05/09/2023","1300-1350","JONES 227","3","CLAS","Separation Process","Sanchari Chowdhury","9","20","11","0","$35","https://catalog.nmt.edu/courses/CHE352",""
"30249","CH E 408-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Cooperative Education","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE408",""
"31284","CH E 443-01","M","M W","01/16/2023-05/09/2023","1000-1050","JONES 227","2","CLAS","Process Dynamics & Control","Sanchari Chowdhury","1","22","21","0","$35","https://catalog.nmt.edu/courses/CHE443",""
"31285","CH E 443L-01","M","M","01/16/2023-05/09/2023","1430-1700","MSEC 195","1","CLAS","Process Dynamics & Control Lab","Sanchari Chowdhury","1","22","21","0","$75","https://catalog.nmt.edu/courses/CHE443",""
"30159","CH E 462-01","M","T R","01/16/2023-05/09/2023","1230-1345","JONES 227","3","CLAS","Plant Design, Econ, & Mgmt II","Corey A. Leclerc","1","22","21","0","$75","https://catalog.nmt.edu/courses/CHE462",""
"31555","CH E 472-01","M","T R","01/16/2023-05/09/2023","1530-1645","JONES 227","3","CLAS","Advanced Transport Phenomena","Pabitra Choudhury","19","22","3","0","$35","https://catalog.nmt.edu/courses/CHE472",""
"31818","CH E 491-01","M","","01/17/2023-05/09/2023","","","1","CLAS","Assist develop new safety crse","Seth T. Price","0","1","1","0","N/A","https://catalog.nmt.edu/courses/CHE491",""
"31345","CH E 563-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONES 227","3","CLAS","Design and Analysis of Experim","Donghyeon Ryu","1","18","17","0","N/A","https://catalog.nmt.edu/courses/CHE563",""
