CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"31016","BIOL 591-06","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Joel T. Sharbrough","6","10","4","0","$10","Bookstore Link",
"31468","BIOL 591-07","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Daniel S. Jones","9","10","1","0","N/A","Bookstore Link",
"31469","BMS 300-01","M","M","01/16/2023-05/09/2023","1200-1250","CRAMER 239","1","CLAS","Biomedical Sciences Seminar","Kaarin K. Goncz","19","40","21","0","$25","Bookstore Link",
"31665","BMS 496-01","M","T","01/16/2023-05/09/2023","1525-1640","WORKC 101","2","CLAS","Biomed Resrch Design Engineeri","Mostafa Hassanalian","1","10","9","0","N/A","Bookstore Link",
"31273","BIOT 502-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biotechnology","Snezna Rogelj","5","10","5","0","N/A","Bookstore Link",
"31350","BIOT 589-01","M","T R","01/16/2023-05/09/2023","1230-1345","CRAMER 120","3","CLAS","Biomedical Materials","Nikolai Kalugin","19","20","1","0","$30","Bookstore Link",
"31622","BIOT 589-02","M","T R","01/16/2023-05/09/2023","1400-1515","CRAMER 101","3","CLAS","Neurology",,"20","20","0","0","N/A","Bookstore Link",
"31772","BIOT 595-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Linda C. DeVeaux","9","10","1","0","N/A","Bookstore Link",
"31773","BIOT 595-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"30419","CH E 327-01","M","T R","01/16/2023-05/09/2023","0930-1045","CRAMER 127","3","CLAS","Principles Chem Eng II","Youngmin Lee","11","20","9","0","$35","Bookstore Link",
"30158","CH E 345L-01","M","M","01/16/2023-05/09/2023","1400-1650","JONES 201","1","CLAS","Chemical Engr. Design Lab","Michaelann S. Tartis","13","20","7","0","$100","Bookstore Link",
"30192","CH E 351-01","M","T R","01/16/2023-05/09/2023","1230-1345","LOPEZ 106","3","CLAS","Chemical Process Kinetics","Youngmin Lee","11","20","9","0","$35","Bookstore Link",
"30193","CH E 352-01","M","M W F","01/16/2023-05/09/2023","1300-1350","JONES 227","3","CLAS","Separation Process","Sanchari Chowdhury","9","20","11","0","$35","Bookstore Link",
"30249","CH E 408-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Cooperative Education","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"31284","CH E 443-01","M","M W","01/16/2023-05/09/2023","1000-1050","JONES 227","2","CLAS","Process Dynamics & Control","Sanchari Chowdhury","1","22","21","0","$35","Bookstore Link",
"31285","CH E 443L-01","M","M","01/16/2023-05/09/2023","1430-1700","MSEC 195","1","CLAS","Process Dynamics & Control Lab","Sanchari Chowdhury","1","22","21","0","$75","Bookstore Link",
"30159","CH E 462-01","M","T R","01/16/2023-05/09/2023","1230-1345","JONES 227","3","CLAS","Plant Design, Econ, & Mgmt II","Corey A. Leclerc","1","22","21","0","$75","Bookstore Link",
"31555","CH E 472-01","M","T R","01/16/2023-05/09/2023","1530-1645","JONES 227","3","CLAS","Advanced Transport Phenomena","Pabitra Choudhury","19","22","3","0","$35","Bookstore Link",
